source_id,niveau,montant,unite,ordre,cible,flag_chiffre_independant_des_benefs,exception,cible_si_independant,flag_optionel,min,max,flag_cible_multiple,flag_delegation
317433,1,5,%,3,intérêt aux actions,1,,,0,,,0,0
317433,2,5,%,4,conseil d’administration,0,,,0,,,0,0
317458,1,5,%,1,réserve légale,0,,,0,,,0,0
317458,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317458,2,20,%,3,conseil d’administration,0,,,0,,,0,0
317458,2,80,%,4,actions,0,,,0,,,0,0
317472,1,5,%,1,réserve légale,0,,,0,,,0,0
317472,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
317472,2,10,%,3,conseil d’administration,0,,,0,,,0,0
317472,2,90,%,4,actions,0,,,0,,,0,0
317486,1,5,%,1,réserve légale,0,,,0,,,0,0
317486,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317486,2,90,%,3,actions,0,,,0,,,0,0
317486,2,10,%,4,conseil,0,,,0,,,0,0
317502,1,5,%,1,réserve légale,0,,,0,,,0,0
317502,1,5,%,2,intérêt cumulatif aux actions de priorité,1,,,0,,,0,0
317502,1,5,%,3,fonds d’amortissement,0,,,0,,,0,0
317502,1,4,%,4,intérêt non cumulatif aux actions,1,,,0,,,0,0
317502,2,10,%,5,conseil d’administration,0,,,0,,,0,0
317502,2,90,%,6,actions ordinaires,0,,,0,,,0,0
317519,1,5,%,1,réserve légale,0,,,0,,,0,0
317519,1,15,%,2,fonds d’amortissement,0,,,0,,,0,0
317519,1,5,%,3,intérêt aux actions,1,,,0,,,0,0
317519,2,85,%,4,actions,0,,,0,,,0,0
317519,2,10,%,5,conseil d’administration,0,,,0,,,0,0
317519,2,5,%,6,direction,0,,,0,,,0,0
317552,1,5,%,1,réserve légale,0,,,0,,,0,0
317552,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317552,2,90,%,3,actions,0,,,0,,,0,0
317552,2,10,%,4,conseil d’administration,0,,,0,,,0,0
317566,1,5,%,1,réserve légale,0,,,0,,,0,0
317566,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317566,2,15,%,3,conseil d’administration,0,,,0,,,0,0
317566,2,15,%,4,personnel,0,,,0,,,0,0
317566,2,40,%,5,actions,0,,,0,,,0,0
317566,2,30,%,6,ville de Tourcoing,0,,,0,,,0,0
317583,1,5,%,1,réserve légale,0,,,0,,,0,0
317583,1,5,%,2,fonds d’amortissement,0,,,0,,,0,0
317583,1,5,%,3,intérêt aux actions,1,,,0,,,0,0
317583,2,15,%,4,conseil d’administration,0,,,0,,,0,0
317583,2,85,%,5,actions,0,,,0,,,0,0
317598,1,5,%,1,réserve,0,,,0,,,0,0
317598,1,10,%,2,parts bénéficiaires,0,,,0,,,0,0
317598,1,50,Francs,3,parts,0,,,0,,,0,0
317598,2,1,%,4,chaque administrateur,0,,,0,,,1,0
317598,2,1/3,%,5,chaque commissaire,0,,,0,,,1,0
317616,1,5,%,1,réserve légale,0,,,0,,,0,0
317616,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
317616,2,10,%,3,conseil d’administration,0,,,0,,,0,0
317635,1,5,%,1,réserve légale,0,,,0,,,0,0
317635,1,6,%,2,intérêt aux actions,1,,,0,,,0,0
317635,1,1,%,3,chaque membre du conseil,0,,,0,,,1,0
317635,1,2,%,4,personnel,0,,,0,,,0,0
317652,1,5,%,1,réserve légale,0,,,0,,,0,0
317652,1,6,%,2,intérêt cumulatif aux actions de priorité,1,,,0,,,0,0
317652,1,5,%,3,actions ordinaires,0,,,0,,,0,0
317652,2,10,%,4,conseil d’administration,0,,,0,,,0,0
317652,2,90,%,5,actions,0,,,0,,,0,0
317683,1,5,%,1,réserve légale,0,,,0,,,0,0
317683,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317683,3,50,%,3,actions,0,,,0,,,0,0
317683,3,50,%,4,parts de fondateur,0,,,0,,,0,0
317697,1,5,%,1,réserve légale,0,,,0,,,0,0
317697,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317697,2,10,%,3,conseil d’administration,0,,,0,,,0,0
317697,3,65,%,4,actions,0,,,0,,,0,0
317697,3,35,%,5,parts de fondateur,0,,,0,,,0,0
317715,1,5,%,1,réserve légale,0,,,0,,,0,0
317715,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317715,2,10,%,3,conseil d’administration,0,,,0,,,0,0
317715,3,65,%,4,actions,0,,,0,,,0,0
317715,3,35,%,5,parts de fondateur,0,,,0,,,0,0
317731,1,5,%,1,réserve légale,0,,,0,,,0,0
